"sex" "dx2" "cod_label" "n" "fu" "deaths" "rate1000" "left" "right" "MRR" "MRR_left" "MRR_right"
"both" "All Danish population" "Accidents" 7369926 111027388.704708 38414 0.345986701553138 0.342544050126509 0.349463952468039 NA NA NA
"both" "All Danish population" "Alcohol Misuse" 7369926 111027388.704708 26964 0.242858994655042 0.239977479882688 0.245775109038107 NA NA NA
"both" "All Danish population" "All Causes" 7369926 111027388.704708 1122351 10.1087759794571 10.0900915155007 10.1274950426234 NA NA NA
"both" "All Danish population" "Diabetes Mellitus" 7369926 111027388.704708 25732 0.23176263352854 0.228948114009967 0.234611752677491 NA NA NA
"both" "All Danish population" "Digestive Diseases" 7369926 111027388.704708 39028 0.351516868543131 0.34804667614058 0.35502166042942 NA NA NA
"both" "All Danish population" "Dis. Circulatory System" 7369926 111027388.704708 379317 3.41642728362137 3.40557232267503 3.42731684379686 NA NA NA
"both" "All Danish population" "Homicide" 7369926 111027388.704708 942 0.00848439300419263 0.00795952465400813 0.00904387231382515 NA NA NA
"both" "All Danish population" "Infectious Diseases" 7369926 111027388.704708 14099 0.126986684677401 0.124907788891538 0.129100180448796 NA NA NA
"both" "All Danish population" "Natural Causes" 7369926 111027388.704708 1069040 9.62861517749691 9.61038027776297 9.64688467644115 NA NA NA
"both" "All Danish population" "Neoplasms" 7369926 111027388.704708 316992 2.85507930699048 2.84515759967438 2.86503561354145 NA NA NA
"both" "All Danish population" "Other Causes" 7369926 111027388.704708 154528 1.39180072415274 1.38487860086089 1.3987574467162 NA NA NA
"both" "All Danish population" "Respiratory Diseases" 7369926 111027388.704708 112380 1.0121826813282 1.00628211734228 1.01811784461263 NA NA NA
"both" "All Danish population" "Suicide" 7369926 111027388.704708 13955 0.125689707402875 0.123621542855174 0.127792471944215 NA NA NA
"both" "All Danish population" "Unnatural Causes" 7369926 111027388.704708 53311 0.480160801960205 0.476102125875432 0.48425407745268 NA NA NA
"both" "Any Disorder" "Accidents" 762419 7272476.37946703 10394 1.42922430512751 1.40201050113625 1.45696634419766 4.58633887760471 4.48275487626214 4.69231641721344
"both" "Any Disorder" "Alcohol Misuse" 762419 7272476.37946703 11523 1.58446716066811 1.55579966204517 1.61366289277595 8.91751565152605 8.70382175989201 9.13645609813117
"both" "Any Disorder" "All Causes" 762419 7272476.37946703 208703 28.6976525065448 28.5747958103591 28.821037422351 2.52937728371721 2.5172828592916 2.54152981647246
"both" "Any Disorder" "Diabetes Mellitus" 762419 7272476.37946703 4952 0.680923490378241 0.662220023161236 0.700155210553028 2.61031358952423 2.53011333726259 2.69305605219523
